node_id,degree,runtime
638270,1,12.44671342568472
120869,2,13.900700884405524
127716,3,12.838895828928798
639558,1,12.70231433911249
554623,1,12.72531109303236
340993,12,12.325939621310681
117370,9,13.775522989686579
142676,3,12.74006391596049
475967,2,12.587275305297226
611272,2,14.000843803863972
476831,1,12.98081986932084
458993,2,11.337864722125232
658192,1,13.659560470841825
403452,1,12.589281075168401
598809,3,13.86013459879905
365402,2,12.919498092029244
503528,1,12.792884096037596
597075,1,12.852361233904958
559795,2,12.768717813305557
254184,3,12.468495266977698
446885,1,13.87822726322338
371996,1,12.801804169081151
425470,1,12.865525921806693
227494,3,12.875902120023966
3304,193,12.76881641894579
86504,6,12.67219714820385
481346,1,12.48305709194392
57575,6,12.469602463766932
6206,803,13.799115368630737
291490,3,12.705557310022414
585828,1,12.707600720226765
442733,1,12.455375864636153
137861,1,13.913040914107114
286028,5,12.830987015739083
217259,1,12.675185922998935
264049,11,12.5402682130225
602456,1,12.353688324801624
508567,2,13.713187795132399
653453,2,12.692090030759573
1243,395,12.435722397174686
457135,1,13.811641777865589
449490,1,12.775940463878214
687997,1,12.686866807751358
66810,1,12.402230930980295
516965,1,13.889608905185014
666917,1,12.8813571552746
7733,128,12.759419599082321
573631,1,12.711117315106094
332867,1,12.470165060367435
65812,4,13.785722694825381
145741,13,12.817137129604816
174374,14,12.55508362269029
253354,2,14.044999290723354
540601,1,13.24625454004854
580502,1,11.28926565265283
503834,1,13.473509956151247
597668,2,12.425885932985693
389127,1,13.771432873792946
119804,10,12.944261330645531
461222,1,12.687664969358593
4586,19,12.718153296038508
359332,2,12.72427034471184
150388,4,12.568671856075525
382258,3,13.919447005726397
537709,30,12.959041834808886
321356,1,13.018018210306764
690691,1,12.85042487224564
384771,1,12.955192999914289
359580,1,12.939903429243714
131706,11,12.717216623947024
227333,6,12.473748717922717
685666,1,13.79911624500528
470487,1,12.874185282737017
599863,3,12.815851911902428
542823,1,12.593647066969424
539099,1,13.951692952774465
490527,1,12.958837595768273
629881,1,13.006457052193582
267700,5,12.637697460129857
627917,1,12.535896660760045
215555,7,13.667978507000953
127892,6,12.618606872390956
173603,10,12.45079529331997
579648,1,13.830654058139771
476024,1,12.877729752101004
431599,1,12.74114808626473
266222,1,12.602411865722388
199520,19,13.929856579750776
594076,1,12.876163050998002
613837,3,12.913297925144434
400887,1,12.674826039932668
119029,12,12.280198300257325
308865,1,13.775307971984148
362307,3,12.72275383817032
204318,20,12.456446933094412
226739,1,13.956087506841868
198048,3,12.93135296460241
108504,8,11.417783433571458
687491,1,13.734377412125468
399081,2,12.528420286253095
384086,1,13.964115416165441
21449,2,12.860539730172604
124177,3,12.770393196027726
613130,1,12.696557602845132
282115,4,12.598048206884414
116772,11,12.388849198818207
491627,1,13.911329459864646
208755,3,12.968247225973755
187731,3,13.122366780880839
379455,1,12.991125765722245
544283,2,12.970479926094413
125367,4,12.921855444088578
49470,1,12.813792493194342
152632,5,12.60978682572022
180085,9,13.873993412125856
252329,3,12.91109428787604
386471,1,12.934726757928729
272287,3,12.825818452052772
464346,1,14.049594602081925
113213,2,13.109591513872147
295972,1,13.059066102840006
529058,1,12.719618733972311
519018,9,12.598867048043758
231784,5,13.834750197827816
146348,5,12.844508853275329
681084,1,12.542926602996886
528563,1,13.651451037731022
661794,1,12.715334794018418
162479,4,12.695242560934275
107640,18,12.479477825108916
100455,2,13.811995935160667
413077,3,12.751400530803949
44592,8,13.425805748905987
566741,2,12.864084328059107
198509,5,12.529721077065915
508501,1,14.864595221821219
455034,1,13.433618882670999
25613,2,13.037126590963453
587575,1,14.389964553993195
155242,3,13.136642348952591
454635,5,11.410152194090188
381075,3,13.626420291140676
475766,1,12.578560897149146
465595,1,14.002217331901193
374671,1,12.949149264022708
229889,2,13.102705567143857
64322,1,13.149511431809515
688000,1,13.008094320073724
416881,1,12.69076443882659
134091,9,14.203882975969464
104963,2,13.108745835255831
668865,1,13.012928201816976
411225,12,13.07310337992385
276721,1,12.830314414110035
547113,1,12.693971570115536
46656,4,12.539977309759706
598578,1,12.35474717291072
352124,2,13.841967379674315
402522,1,12.72039990266785
239984,4,12.584399060811847
675554,1,12.473233547993004
372173,5,13.672291322145611
319431,5,12.763764018192887
295205,2,12.683263170067221
393022,3,12.550037219189107
97057,1,12.490909374784678
390062,1,13.66662875842303
579015,2,12.692818015813828
16774,34,12.44030384067446
666113,1,13.682327901944518
588331,1,12.763769932091236
162290,12,12.737053954042494
613618,1,12.495876101311296
64120,4,13.825256349984556
418296,2,12.7597167477943
203477,2,12.715499107725918
610095,1,12.625180858187377
542247,5,12.527912902180105
580142,1,13.864512814208865
330041,1,12.761596849188209
294509,7,12.566954853013158
46167,4,14.141155730932951
342887,1,13.076838916167617
325685,5,11.444115403108299
130015,1,13.686790173873305
194336,2,12.562648335006088
647594,1,14.014979430940002
38384,5,12.986241923179477
370059,4,13.013110048137605
153905,1,13.787348646204919
610416,1,12.86760824965313
514464,1,13.460491095203906
332602,7,14.848277653101832
680886,1,13.248627487104386
251076,1,13.387278485111892
551911,4,13.3387451460585
135034,9,12.98990205489099
126027,2,13.052403078880161
640144,1,12.842999148182571
484200,1,12.572088375221938
484156,2,13.9028160138987
652641,1,12.80964423995465
175201,2,12.703806922771037
231606,2,12.545248904265463
331032,4,13.823428245726973
416775,3,12.774856367148459
400479,1,12.763491505291313
345777,1,12.668326376006007
488873,2,12.321217506192625
292529,2,13.738156836945564
485687,1,12.675644117873162
85079,9,12.433172552846372
127089,7,13.845351104158908
204233,4,12.793317566625774
523786,1,12.62875315733254
246313,6,12.718243611976504
28588,40,13.932901578955352
67971,6,13.021510511171073
618911,2,12.97068739309907
347103,2,12.753470134921372
609406,1,12.598775192629546
601373,1,13.811822312884033
146120,6,12.815310082864016
425997,2,12.613326741848141
656664,1,14.08783628186211
173869,3,13.211015585344285
25746,27,11.356203997973353
178884,1,13.677047431003302
45529,14,12.570830129086971
83998,15,13.906371790915728
87287,1,12.995120886247605
520707,1,12.88719920720905
383476,1,12.94554535439238
451,453,12.785577667877078
612190,1,12.495101233012974
243403,8,14.080895829945803
7996,111,13.057159510906786
688238,1,12.841182959266007
162060,2,12.93292798800394
607707,1,12.93958936817944
425215,10,12.93570165708661
263929,5,12.733502582646906
536244,3,12.582278451882303
492489,1,13.9897525110282
302365,2,12.894451758824289
676684,1,12.8117542010732
465080,3,12.529442658182234
514788,1,14.060947537887841
22562,29,12.896364262793213
553718,1,12.863429287914187
234104,8,12.591913813725114
537456,20,12.493837317917496
551677,4,13.80428101727739
190629,1,12.649487308692187
254702,1,12.804362948983908
300131,3,14.965319557115436
386395,7,13.608821704983711
159097,3,13.147859554272145
272351,11,13.059204898308963
592839,1,14.283232924062759
337919,4,13.0698560080491
402715,1,12.934971214272082
350452,25,13.068569650873542
526308,2,12.837623455096036
125517,2,14.009757162071764
88977,3,12.813383716158569
424213,3,12.645588914863765
657046,1,14.119898336939514
146135,4,13.104712007101625
258449,1,11.440262236166745
28254,23,13.750922658015043
599472,1,12.587493107654154
468003,2,14.12263909401372
578530,1,12.993062396999449
662569,1,12.963891925290227
539340,1,12.907764714211226
38979,8,12.840832024812698
539370,1,12.638270200230181
128838,5,14.109462619759142
185156,15,13.071980785112828
70273,47,13.05708708288148
548154,1,12.977939642034471
464949,1,12.976027302909642
403138,3,12.753551731817424
595627,2,12.635069833137095
694943,1,12.491079973988235
57952,1,13.780568739864975
448550,2,12.669851999729872
517544,1,12.67045224737376
241176,4,12.477019819896668
130684,1,13.817898351699114
579829,2,12.916127726901323
636727,1,12.856823923997581
583041,2,12.639335951767862
377374,2,12.337055002339184
190570,10,13.609454907942563
506697,1,12.632130843121558
11829,29,12.446714689955115
251684,1,13.8479243805632
